Question,English,Arabic
"A 50-year-old woman from Pune, who works with handicrafts, presents with numbness and weakness of her right hand, along with atrophy of the thenar eminence and hypoaesthesia in the area. Which nerve is likely compressed to cause these symptoms?",Median Nerve,العصب المتوسط
"What laboratory test is considered most useful for diagnosing a condition in a 20-year-old female presenting with hepatosplenomegaly, fever, pallor, and generalized lymphadenopathy?",Routine haemogram,تعداد الدم الروتيني
What is the condition called when the mandibular midline does not coincide with the facial midline both at rest and during occlusion?,Facial asymmetry,عدم تناسق الوجه
"In a case of infertility, what is the optimal time in the menstrual cycle to perform an endometrial biopsy?",20 - 22 days,20 - 22 يومًا
"What is the cause of a 20-year-old female experiencing distressing thoughts of cutting her fingers, which she plans and imagines but never acts upon, feels no guilt about, cannot control, and which disappear after a seizure or on their own?",Forced thinking,تفكير قسري
What hormone-like substances are responsible for causing symptoms such as jaw protrusion and enlarged phalanges in a middle-aged man who can no longer fit in his shoes?,Somatomedins,سوماتروميدين
"Identify the compounds from the following list that are not classified as opioid agonist-antagonist: Buprenorphine, Nalbuphine, Pentazocine, Nalmefene, Papaverine.","Nalmefene, Papaverine",نالميفين، بابافيرين
"A 2-week-old infant presents with a 1-week history of vaginal discharge that is now blood-tinged, as well as gray-blue patches on her back and buttocks. She was born at term after a pregnancy complicated by maternal gonococcal infection. The infant appears well and has mild acne across her cheeks and forehead, firm breast buds, and erythema with a blood-stained discharge in the genitourinary examination. What should be the most appropriate next step in management for this infant's symptoms?",Reassurance,تأكيد
What is the most likely diagnosis for a 25-year-old shepherd who presents with dragging discomfort in the right hypochondrium and an enlarged liver that extends 5 cm below the costal margins?,Hydatid cyst,كيس مائي
"A 21-year-old woman with a history of acute lymphoblastic leukemia presents with amenorrhea and laboratory studies reveal markedly elevated FSH levels indicating premature ovarian failure. Chromosomal analysis using fluorescence in situ hybridization shows a 46,XY karyotype in peripheral blood cells. What is the most likely explanation for the presence of a male karyotype in this patient's chromosomal analysis?",Allogeneic bone marrow transplant,زراعة نخاع العظم الخيفي
"What is the most likely cause of acute coma in a patient with a history of previous episodes of diplopia, ataxia, dysarthria, and dizziness?",Basilar artery thrombosis,تجلط الشريان القاعدي
"A 58-year-old man with a history of hyperlipidemia, hypertension, type 2 diabetes mellitus, and a 20-year history of smoking has been brought to the emergency department with sudden severe retrosternal chest pain radiating to his back. His blood pressure is recorded at 160/60 mm Hg. Considering his medical history and symptoms, what is the strongest predisposing factor for his current condition?",Hypertension,ارتفاع ضغط الدم
"In clinical anaesthesia, what is the most popular nerve used for monitoring neuromuscular response during anaesthesia and in intensive care units?",Ulnar nerve,العصب الزندي
"A young female presents with the following lab values: Hemoglobin of 9.8 gm%, MCV of 70, serum iron of 60, and serum ferritin of 100. What is the most likely diagnosis based on these laboratory findings?",Anaemia of chronic infection,فقر الدم الناتج عن العدوى المزمنة
"While treating a neonate with meningitis, you are using ampicillin and another antibiotic known for its ototoxic side effects. What is the mechanism of action for this second antibiotic?",It binds the 30s ribosomal subunit and inhibits formation of the initiation complex.,يرتبط بوحدة الريبوسوم الفرعية 30S ويثبط تكوين مركب البدء.
"What is the appropriate management for a 20-year-old male who presents with nasal obstruction and nasal discharge, where nasal endoscopy reveals a large polyp in the right nostril extending into the nasopharynx?",FESS,FESS
"A 30-year-old woman presents with mild burning sensation in her eyes and an occasional dry cough, with laboratory results showing elevated calcium and normal vital signs. Given these symptoms, what specific laboratory finding would indicate the likely underlying condition?",Increased ACE levels,زيادة مستويات ACE
"Considering the symptoms of persistent sadness, episodic energetic states with minimal sleep, and periods of increased appetite and difficulty sleeping, what is the most likely diagnosis for a 33-year-old woman who has experienced multiple episodes over the past two years, returning to an energetic state between episodes?",Cyclothymic disorder,اضطراب دوروية المزاج
"A 57-year-old woman presents with 4 months of persistent abdominal pain, early satiety, hematemesis, postmenopausal spotting, nausea, weight loss, and pain during intercourse. Based on these clinical features, what histological finding would be pathognomonic for her most likely diagnosis?",Signet ring cells,خلايا الخاتمية
What condition might bromocriptine be prescribed for in a 27-year-old female who presents with infertility?,Hyperprolactinemia,فرط برولاكتين الدم
"A 23-year-old man developed a blistering, red rash on his neck and back after spending 5 hours at the beach despite applying 1 oz of water-resistant SPF 30 sunscreen 30 minutes before exposure. Given that the rash was accompanied by erythema, edema, and tenderness, what preventative measure should he take in the future to avoid recurrence of these symptoms?",Reapply sunscreen after water exposure,أعد وضع واقي الشمس بعد التعرض للماء
"A 35-year-old man is brought to the emergency department 40 minutes after spilling hot oil over himself in a kitchen accident. Examination shows multiple tense blisters over the abdomen, anterior chest, and anterior and posterior aspects of the right upper extremity and right thigh. On deroofing the blisters, the skin underneath is tender, mottled, and does not blanch with pressure. The skin over the left thigh is tender, erythematous, and shows quick capillary refill after blanching with pressure. What is the total percentage of body surface area affected by 2nd-degree burns in this patient, based on the Rule of Nines?",36%,36%
"After evaluating a 22-year-old female patient who is concerned about her skin appearance but presents with minimal acne and normal complexion, which mental health disorder should also be considered given her excessive concern about her appearance?",Major depressive disorder,اضطراب الاكتئاب الشديد
"When considering interactions with oral contraceptives, which drug is unlikely to reduce their effectiveness?",Ketoconazole,كيتوكونازول
"A 5-day-old male newborn presents with progressive yellowing of the skin starting from the face and spreading to the trunk and limbs. He was born at 38 weeks’ gestation with a normal delivery and has normal feeding, bowel habits, and urination. His bilirubin level shows total bilirubin at 8 mg/dL and a direct bilirubin level at 0.5 mg/dL, with normal AST and ALT levels. What is the most appropriate next step in the management of this newborn's condition, given these clinical findings?",Reassurance,تَطْمِين
"For a six-year-old child who is undergoing elective urology surgery and is unwilling to allow intravenous access, what is the most suitable inhalational agent for the induction of general anaesthesia?",Sevoflurane,سيفوفلورين
"Based on the current symptoms and treatment regimen of an 8-year-old girl diagnosed with asthma, whose forced expiratory volume in one second is about 70% of the predicted value, wakes up at least 3 times a week due to symptoms, and uses a short-acting β-agonist inhaler daily, what category describes the severity of her asthma symptoms?",Moderate persistent,معتدل ومستمر
"A 39-year-old male with a history of acetaminophen overdose presents post-extubation with a complaint of lack of sensation over the palmar and dorsal surface of the small finger and half of the ring finger, along with weak digit abduction, weak thumb adduction, and weak thumb-index finger pinch in the affected extremity. Considering his recent medical history, including an axillary arterial line placement and observed bruising and swelling of the upper extremity during his MICU stay, what is the most likely neurological injury and its cause?",Compression of ulnar nerve secondary to coagulopathy,انضغاط العصب الزندي الثانوي بسبب اعتلال التخثر
"A 10-year-old boy presents with recurring episodes of achy muscle pain in his legs, poor school performance, ptosis, a high-arched palate, and muscle weakness in the face and hands with normal strength in the quadriceps and hamstrings. Percussion of the thenar eminence causes the thumb to abduct and then relax slowly. What is the most likely underlying genetic cause of these symptoms?",CTG trinucleotide expansion in the DMPK gene,توسع ثلاثي النوكليوتيد CTG في جين DMPK
"A 40-year-old woman with a history of breast carcinoma post-mastectomy and adjuvant chemotherapy is being treated for pain. She has a history of hepatitis C and has been using intravenous heroin. Since beginning her pain medication, she has significantly reduced her heroin use. What is the primary mechanism of action of the analgesic drug likely prescribed to her?",Mixed agonist-antagonist at opioid receptors,ناهض-مضاد مختلط لمستقبلات الأفيون
"A 35-year-old female presents with a solitary neck nodule. Fine Needle Aspiration Cytology (FNAC) reveals 'orphan Annie-eyed nuclei', indicative of papillary thyroid carcinoma. There is no lymph node involvement. What is the appropriate surgical management for this patient?",Hemi thyroidectomy,استئصال نصف الغدة الدرقية
